startdate,enddate,employeekey,parentemployeekey,employeenationalidalternatekey,parentemployeenationalidalternatekey,salesterritorykey,firstname,lastname,middlename,namestyle,title,hiredate,birthdate,loginid,emailaddress,phone,maritalstatus,emergencycontactname,emergencycontactphone,salariedflag,gender,payfrequency,baserate,vacationhours,sickleavehours,currentflag,salespersonflag,departmentname,startdate_2,enddate_2,status
2008-07-01,,23,112,277173473,NULL,11,Peter,Krebs,J,0,Production Control Manager,2008-07-01,1982-06-03,adventure-works\peter0,peter0@adventure-works.com,913-555-0196,M,Peter Krebs,913-555-0196,1,M,2,24.5192,43,41,1,0,Production Control,2008-07-01,,Current
2008-07-02,,24,201,835460180,NULL,11,Stuart,Munson,V,0,Production Technician - WC45,2008-07-02,1962-04-13,adventure-works\stuart0,stuart0@adventure-works.com,413-555-0136,S,Stuart Munson,413-555-0136,0,M,1,10.0,84,62,1,0,Production,2008-07-02,,Current
2008-07-02,,25,201,687685941,NULL,11,Greg,Alderson,F,0,Production Technician - WC45,2008-07-02,1975-11-15,adventure-works\greg0,greg0@adventure-works.com,332-555-0150,S,Greg Alderson,332-555-0150,0,M,1,10.0,85,62,1,0,Production,2008-07-02,,Current
2008-07-02,,26,188,498138869,NULL,11,David,Johnson,N,0,Production Technician - WC30,2008-07-02,1979-06-02,adventure-works\david1,david1@adventure-works.com,166-555-0162,S,David Johnson,166-555-0162,0,M,1,9.5,25,32,1,0,Production,2008-07-02,,Current
2008-07-03,,27,23,360868122,NULL,11,Zheng,Mu,W,0,Production Supervisor - WC10,2008-07-03,1983-05-26,adventure-works\zheng0,zheng0@adventure-works.com,113-555-0173,S,Zheng Mu,113-555-0173,0,M,2,25.0,66,53,1,0,Production,2008-07-03,,Current
2008-07-04,,28,111,964089218,NULL,11,Ivo,Salmre,William,0,Production Technician - WC20,2008-07-04,1981-08-03,adventure-works\ivo0,ivo0@adventure-works.com,115-555-0179,M,Ivo Salmre,115-555-0179,0,M,1,14.0,9,24,1,0,Production,2008-07-04,,Current
2008-07-04,,29,89,384162788,NULL,11,Paul,Komosinski,B,0,Production Technician - WC40,2008-07-04,1980-06-13,adventure-works\paul0,paul0@adventure-works.com,147-555-0160,S,Paul Komosinski,147-555-0160,0,M,1,15.0,68,54,1,0,Production,2008-07-04,,Current
2008-07-04,,30,154,749389530,NULL,11,Ashvini,Sharma,R,0,Network Administrator,2008-07-04,1976-10-25,adventure-works\ashvini0,ashvini0@adventure-works.com,656-555-0119,S,Ashvini Sharma,656-555-0119,0,M,2,32.4519,70,55,1,0,Information Services,2008-07-04,,Current
2008-07-05,,31,16,571658797,NULL,11,Kendall,Keil,C,0,Production Technician - WC50,2008-07-05,1985-12-28,adventure-works\kendall0,kendall0@adventure-works.com,138-555-0128,M,Kendall Keil,138-555-0128,0,M,1,11.0,11,25,1,0,Production,2008-07-05,,Current
2008-07-06,,32,143,535145551,NULL,11,Paula,Barreto de Mattos,M,0,Human Resources Manager,2008-07-06,1975-09-11,adventure-works\paula0,paula0@adventure-works.com,523-555-0175,M,Paula Barreto de Mattos,523-555-0175,1,F,2,27.1394,54,47,1,0,Human Resources,2008-07-06,,Current
2008-07-06,,33,214,761597760,NULL,11,Alejandro,McGuel,E,0,Production Technician - WC40,2008-07-06,1988-07-05,adventure-works\alejandro0,alejandro0@adventure-works.com,668-555-0130,S,Alejandro McGuel,668-555-0130,0,M,1,15.0,52,46,1,0,Production,2008-07-06,,Current
2008-07-07,,34,188,271438431,NULL,11,Garrett,Young,R,0,Production Technician - WC30,2008-07-07,1984-03-25,adventure-works\garrett0,garrett0@adventure-works.com,609-555-0179,S,Garrett Young,609-555-0179,0,M,1,9.5,34,37,1,0,Production,2008-07-07,,Current
2008-07-07,,35,138,160739235,NULL,11,Jian Shuo,Wang,NULL,0,Production Technician - WC30,2008-07-07,1983-02-24,adventure-works\jianshuo0,jianshuo0@adventure-works.com,952-555-0178,S,Jian Shuo Wang,952-555-0178,0,M,1,9.5,36,38,1,0,Production,2008-07-07,,Current
2008-07-07,,36,87,586486572,NULL,11,Susan,Eaton,W,0,Stocker,2008-07-07,1977-09-17,adventure-works\susan0,susan0@adventure-works.com,943-555-0196,S,Susan Eaton,943-555-0196,0,F,1,9.0,97,68,1,0,Shipping and Receiving,2008-07-07,,Current
2008-07-07,,37,87,337752649,NULL,11,Vamsi,Kuppa,N,0,Shipping and Receiving Clerk,2008-07-07,1976-10-16,adventure-works\vamsi0,vamsi0@adventure-works.com,937-555-0137,M,Vamsi Kuppa,937-555-0137,0,M,2,9.5,95,67,1,0,Shipping and Receiving,2008-07-07,,Current
2008-07-07,,38,40,113695504,NULL,11,Alice,Ciccu,O,0,Production Technician - WC50,2008-07-07,1977-08-26,adventure-works\alice0,alice0@adventure-works.com,333-555-0173,M,Alice Ciccu,333-555-0173,0,F,1,11.0,95,67,1,0,Production,2008-07-07,,Current
2008-07-08,,39,9,276751903,NULL,11,Simon,Rapier,D,0,Production Technician - WC60,2008-07-08,1989-12-15,adventure-works\simon0,simon0@adventure-works.com,963-555-0134,S,Simon Rapier,963-555-0134,0,M,1,12.45,38,39,1,0,Production,2008-07-08,,Current
2008-07-08,,40,23,630184120,NULL,11,Jinghao,Liu,K,0,Production Supervisor - WC50,2008-07-08,1988-09-05,adventure-works\jinghao0,jinghao0@adventure-works.com,794-555-0159,S,Jinghao Liu,794-555-0159,0,M,2,25.0,77,58,1,0,Production,2008-07-08,,Current
2008-07-09,,41,186,545337468,NULL,11,Michael,Hines,T,0,Production Technician - WC20,2008-07-09,1989-12-15,adventure-works\michael0,michael0@adventure-works.com,218-555-0126,S,Michael Hines,218-555-0126,0,M,1,14.0,20,30,1,0,Production,2008-07-09,,Current
2008-07-09,,42,163,713403643,NULL,11,Yvonne,McKay,S,0,Production Technician - WC45,2008-07-09,1988-11-13,adventure-works\yvonne0,yvonne0@adventure-works.com,286-555-0189,M,Yvonne McKay,286-555-0189,0,F,1,10.0,79,59,1,0,Production,2008-07-09,,Current
2008-07-09,,43,204,885055826,NULL,11,Peng,Wu,J,0,Quality Assurance Supervisor,2008-07-09,1975-10-17,adventure-works\peng0,peng0@adventure-works.com,164-555-0164,M,Peng Wu,164-555-0164,1,M,2,21.6346,81,60,1,0,Quality Assurance,2008-07-09,,Current
2008-07-11,,44,112,441044382,NULL,11,Jean,Trenary,E,0,Information Services Manager,2008-07-11,1975-07-13,adventure-works\jean0,jean0@adventure-works.com,685-555-0120,S,Jean Trenary,685-555-0120,1,F,2,50.4808,65,52,1,0,Information Services,2008-07-11,,Current
2008-07-12,,45,76,718299860,NULL,11,Russell,Hunter,NULL,0,Production Technician - WC50,2008-07-12,1972-06-25,adventure-works\russell0,russell0@adventure-works.com,786-555-0144,M,Russell Hunter,786-555-0144,0,M,1,11.0,6,23,1,0,Production,2008-07-12,,Current
2008-07-12,,46,23,685233686,NULL,11,A. Scott,Wright,NULL,0,Master Scheduler,2008-07-12,1968-04-17,adventure-works\ascott0,ascott0@adventure-works.com,992-555-0194,S,A. Scott Wright,992-555-0194,0,M,2,23.5577,44,42,1,0,Production Control,2008-07-12,,Current
2008-07-12,,47,214,295971920,NULL,11,Fred,Northup,T,0,Production Technician - WC40,2008-07-12,1989-01-23,adventure-works\fred0,fred0@adventure-works.com,818-555-0192,S,Fred Northup,818-555-0192,0,M,1,15.0,47,43,1,0,Production,2008-07-12,,Current
2008-07-12,,48,7,95958330,NULL,11,Sariya,Harnpadoungsataya,E,0,Marketing Specialist,2008-07-12,1986-12-19,adventure-works\sariya0,sariya0@adventure-works.com,399-555-0176,S,Sariya Harnpadoungsataya,399-555-0176,0,M,2,14.4231,45,42,1,0,Marketing,2008-07-12,,Current
2008-07-13,,49,32,332040978,NULL,11,Willis,Johnson,T,0,Recruiter,2008-07-13,1978-02-15,adventure-works\willis0,willis0@adventure-works.com,778-555-0141,S,Willis Johnson,778-555-0141,0,M,2,18.2692,49,44,1,0,Human Resources,2008-07-13,,Current
2008-07-14,,50,40,857651804,NULL,11,Jun,Cao,T,0,Production Technician - WC50,2008-07-14,1979-02-03,adventure-works\jun0,jun0@adventure-works.com,299-555-0113,S,Jun Cao,299-555-0113,0,M,1,11.0,90,65,1,0,Production,2008-07-14,,Current
2008-07-14,,51,222,553069203,NULL,11,Christian,Kleinerman,E,0,Maintenance Supervisor,2008-07-14,1975-08-18,adventure-works\christian0,christian0@adventure-works.com,846-555-0157,M,Christian Kleinerman,846-555-0157,1,M,2,20.4327,92,66,1,0,Facilities and Maintenance,2008-07-14,,Current
2008-07-14,,52,188,351069889,NULL,11,Susan,Metters,A,0,Production Technician - WC30,2008-07-14,1982-10-31,adventure-works\susan1,susan1@adventure-works.com,639-555-0164,S,Susan Metters,639-555-0164,0,F,1,9.5,31,35,1,0,Production,2008-07-14,,Current
2008-07-15,,53,23,370989364,NULL,11,Reuben,D'sa,H,0,Production Supervisor - WC40,2008-07-15,1987-03-27,adventure-works\reuben0,reuben0@adventure-works.com,191-555-0112,M,Reuben D'sa,191-555-0112,0,M,2,25.0,72,56,1,0,Production,2008-07-15,,Current
2008-07-15,,54,126,275962311,NULL,11,Kirk,Koenigsbauer,J,0,Production Technician - WC45,2008-07-15,1984-09-06,adventure-works\kirk0,kirk0@adventure-works.com,669-555-0150,S,Kirk Koenigsbauer,669-555-0150,0,M,1,10.0,74,57,1,0,Production,2008-07-15,,Current
2008-07-15,,55,20,36151748,NULL,11,David,Ortiz,J,0,Production Technician - WC60,2008-07-15,1984-07-29,adventure-works\david2,david2@adventure-works.com,712-555-0119,M,David Ortiz,712-555-0119,0,M,1,12.45,33,36,1,0,Production,2008-07-15,,Current
2008-07-16,,56,92,540688287,NULL,11,Tengiz,Kharatishvili,N,0,Control Specialist,2008-07-16,1989-11-26,adventure-works\tengiz0,tengiz0@adventure-works.com,910-555-0116,S,Tengiz Kharatishvili,910-555-0116,0,M,2,16.8269,76,58,1,0,Document Control,2008-07-16,,Current
2008-07-16,,57,147,568596888,NULL,11,Hanying,Feng,P,0,Production Technician - WC20,2008-07-16,1974-05-16,adventure-works\hanying0,hanying0@adventure-works.com,319-555-0139,S,Hanying Feng,319-555-0139,0,M,1,14.0,15,27,1,0,Production,2008-07-16,,Current
2008-07-17,,58,214,918737118,NULL,11,Kevin,Liu,H,0,Production Technician - WC40,2008-07-17,1985-07-25,adventure-works\kevin1,kevin1@adventure-works.com,714-555-0138,S,Kevin Liu,714-555-0138,0,M,1,15.0,58,49,1,0,Production,2008-07-17,,Current
2008-07-17,,59,18,801758002,NULL,11,Annik,Stahl,O,0,Production Technician - WC60,2008-07-17,1976-07-26,adventure-works\annik0,annik0@adventure-works.com,499-555-0125,M,Annik Stahl,499-555-0125,0,M,1,12.45,17,28,1,0,Production,2008-07-17,,Current
2008-07-17,,60,40,415823523,NULL,11,Suroor,Fatima,R,0,Production Technician - WC50,2008-07-17,1977-09-25,adventure-works\suroor0,suroor0@adventure-works.com,932-555-0161,S,Suroor Fatima,932-555-0161,0,M,1,11.0,93,66,1,0,Production,2008-07-17,,Current
2008-07-18,,61,142,363923697,NULL,11,Deborah,Poe,E,0,Accounts Receivable Specialist,2008-07-18,1975-10-05,adventure-works\deborah0,deborah0@adventure-works.com,602-555-0194,M,Deborah Poe,602-555-0194,0,F,2,19.0,60,50,1,0,Finance,2008-07-18,,Current
2008-07-19,,62,76,674171828,NULL,11,Jim,Scardelis,H,0,Production Technician - WC50,2008-07-19,1986-04-08,adventure-works\jim0,jim0@adventure-works.com,679-555-0113,M,Jim Scardelis,679-555-0113,0,M,1,11.0,1,20,1,0,Production,2008-07-19,,Current
2008-07-19,,63,177,138280935,NULL,11,Carole,Poland,M,0,Production Technician - WC30,2008-07-19,1983-05-19,adventure-works\carole0,carole0@adventure-works.com,688-555-0192,M,Carole Poland,688-555-0192,0,F,1,9.5,42,41,1,0,Production,2008-07-19,,Current
2008-07-21,,64,188,476115505,NULL,11,George,Li,Z,0,Production Technician - WC30,2008-07-21,1976-11-14,adventure-works\george0,george0@adventure-works.com,518-555-0199,M,George Li,518-555-0199,0,M,1,9.5,26,33,1,0,Production,2008-07-21,,Current
2008-07-22,,65,89,502058701,NULL,11,Gary,Yukish,W,0,Production Technician - WC40,2008-07-22,1987-12-15,adventure-works\gary0,gary0@adventure-works.com,901-555-0125,S,Gary Yukish,901-555-0125,0,M,1,15.0,69,54,1,0,Production,2008-07-22,,Current
2008-07-22,,66,23,7201901,NULL,11,Cristian,Petculescu,K,0,Production Supervisor - WC10,2008-07-22,1983-11-10,adventure-works\cristian0,cristian0@adventure-works.com,434-555-0133,M,Cristian Petculescu,434-555-0133,0,M,2,25.0,67,53,1,0,Production,2008-07-22,,Current
2008-07-23,,67,147,97728960,NULL,11,Raymond,Sam,K,0,Production Technician - WC20,2008-07-23,1966-09-30,adventure-works\raymond0,raymond0@adventure-works.com,226-555-0197,M,Raymond Sam,226-555-0197,0,M,1,14.0,10,25,1,0,Production,2008-07-23,,Current
2008-07-23,,68,44,525932996,NULL,11,Janaina,Bueno,Barreiro Gambaro,0,Application Specialist,2008-07-23,1984-08-30,adventure-works\janaina0,janaina0@adventure-works.com,623-555-0155,M,Janaina Bueno,623-555-0155,1,F,2,27.4038,71,55,1,0,Information Services,2008-07-23,,Current
2008-07-24,,69,16,843479922,NULL,11,Bob,Hohman,N,0,Production Technician - WC50,2008-07-24,1979-03-16,adventure-works\bob0,bob0@adventure-works.com,611-555-0116,S,Bob Hohman,611-555-0116,0,M,1,11.0,12,26,1,0,Production,2008-07-24,,Current
2008-07-24,,70,214,370487086,NULL,11,Shammi,Mohamed,G,0,Production Technician - WC40,2008-07-24,1980-05-04,adventure-works\shammi0,shammi0@adventure-works.com,793-555-0179,M,Shammi Mohamed,793-555-0179,0,M,1,15.0,53,46,1,0,Production,2008-07-24,,Current
2008-07-25,,71,40,54759846,NULL,11,Linda,Moschell,K,0,Production Technician - WC50,2008-07-25,1987-02-14,adventure-works\linda0,linda0@adventure-works.com,612-555-0171,M,Linda Moschell,612-555-0171,0,F,1,11.0,96,68,1,0,Production,2008-07-25,,Current
2008-07-25,,72,32,619308550,NULL,11,Mindy,Martin,C,0,Benefits Specialist,2008-07-25,1984-06-20,adventure-works\mindy0,mindy0@adventure-works.com,522-555-0147,M,Mindy Martin,522-555-0147,0,F,2,16.5865,51,45,1,0,Human Resources,2008-07-25,,Current
2008-07-25,,73,143,121491555,NULL,11,Wendy,Kahn,Beth,0,Finance Manager,2008-07-25,1984-05-11,adventure-works\wendy0,wendy0@adventure-works.com,248-555-0134,S,Wendy Kahn,248-555-0134,1,F,2,43.2692,55,47,1,0,Finance,2008-07-25,,Current
2008-07-26,,74,87,420776180,NULL,11,Kim,Ralls,T,0,Stocker,2008-07-26,1983-11-29,adventure-works\kim0,kim0@adventure-works.com,309-555-0129,S,Kim Ralls,309-555-0129,0,F,1,9.0,98,69,1,0,Shipping and Receiving,2008-07-26,,Current
2008-07-26,,75,138,604664374,NULL,11,Sandra,Reátegui Alayo,NULL,0,Production Technician - WC30,2008-07-26,1975-06-05,adventure-works\sandra0,sandra0@adventure-works.com,896-555-0168,M,Sandra Reátegui Alayo,896-555-0168,0,F,1,9.5,37,38,1,0,Production,2008-07-26,,Current
2008-07-27,,76,23,778552911,NULL,11,Kok-Ho,Loh,T,0,Production Supervisor - WC50,2008-07-27,1979-11-27,adventure-works\kok-ho0,kok-ho0@adventure-works.com,999-555-0155,S,Kok-Ho Loh,999-555-0155,0,M,2,25.0,78,59,1,0,Production,2008-07-27,,Current
2008-07-27,,77,163,435234965,NULL,11,Douglas,Hite,B,0,Production Technician - WC45,2008-07-27,1985-06-24,adventure-works\douglas0,douglas0@adventure-works.com,808-555-0172,M,Douglas Hite,808-555-0172,0,M,1,10.0,80,60,1,0,Production,2008-07-27,,Current
2008-07-27,,78,9,339712426,NULL,11,James,Kramer,D,0,Production Technician - WC60,2008-07-27,1984-02-23,adventure-works\james0,james0@adventure-works.com,119-555-0117,M,James Kramer,119-555-0117,0,M,1,12.45,39,39,1,0,Production,2008-07-27,,Current
2008-07-28,,79,43,403414852,NULL,11,Sean,Alexander,P,0,Quality Assurance Technician,2008-07-28,1975-10-05,adventure-works\sean0,sean0@adventure-works.com,420-555-0173,S,Sean Alexander,420-555-0173,0,M,2,10.5769,82,61,1,0,Quality Assurance,2008-07-28,,Current
2008-07-28,,80,186,368920189,NULL,11,Nitin,Mirchandani,S,0,Production Technician - WC20,2008-07-28,1986-07-01,adventure-works\nitin0,nitin0@adventure-works.com,143-555-0173,S,Nitin Mirchandani,143-555-0173,0,M,1,14.0,21,30,1,0,Production,2008-07-28,,Current
2008-07-29,,81,162,811994146,NULL,11,Diane,Margheim,L,0,Research and Development Engineer,2008-07-29,1986-01-03,adventure-works\diane1,diane1@adventure-works.com,815-555-0138,S,Diane Margheim,815-555-0138,1,F,2,40.8654,62,51,1,0,Research and Development,2008-07-29,,Current
2008-07-29,,82,18,330211482,NULL,11,Rebecca,Laszlo,A,0,Production Technician - WC60,2008-07-29,1988-02-04,adventure-works\rebecca0,rebecca0@adventure-works.com,314-555-0113,M,Rebecca Laszlo,314-555-0113,0,F,1,12.45,23,31,1,0,Production,2008-07-29,,Current
2008-07-31,,83,214,632092621,NULL,11,Rajesh,Patel,M,0,Production Technician - WC40,2008-07-31,1977-05-04,adventure-works\rajesh0,rajesh0@adventure-works.com,373-555-0137,M,Rajesh Patel,373-555-0137,0,M,1,15.0,48,44,1,0,Production,2008-07-31,,Current
2008-08-01,,84,32,264306399,NULL,11,Vidur,Luthra,X,0,Recruiter,2008-08-01,1984-03-01,adventure-works\vidur0,vidur0@adventure-works.com,153-555-0186,S,Vidur Luthra,153-555-0186,0,M,2,18.2692,50,45,1,0,Human Resources,2008-08-01,,Current
2008-08-01,,85,40,981597097,NULL,11,John,Evans,P,0,Production Technician - WC50,2008-08-01,1977-12-29,adventure-works\john1,john1@adventure-works.com,172-555-0130,S,John Evans,172-555-0130,0,M,1,11.0,91,65,1,0,Production,2008-08-01,,Current
2008-08-02,,86,9,693325305,NULL,11,Nancy,Anderson,A,0,Production Technician - WC60,2008-08-02,1988-06-19,adventure-works\nancy0,nancy0@adventure-works.com,970-555-0118,M,Nancy Anderson,970-555-0118,0,F,1,12.45,34,37,1,0,Production,2008-08-02,,Current
2008-08-02,,87,23,521265716,NULL,11,Pilar,Ackerman,G,0,Shipping and Receiving Supervisor,2008-08-02,1972-04-09,adventure-works\pilar0,pilar0@adventure-works.com,577-555-0185,S,Pilar Ackerman,577-555-0185,1,M,2,19.2308,93,66,1,0,Shipping and Receiving,2008-08-02,,Current
2008-08-02,,88,188,746373306,NULL,11,David,Yalovsky,A,0,Production Technician - WC30,2008-08-02,1981-03-03,adventure-works\david3,david3@adventure-works.com,373-555-0142,S,David Yalovsky,373-555-0142,0,M,1,9.5,32,36,1,0,Production,2008-08-02,,Current
2008-08-03,,89,23,750905084,NULL,11,David,Hamilton,P,0,Production Supervisor - WC40,2008-08-03,1983-01-30,adventure-works\david4,david4@adventure-works.com,986-555-0177,S,David Hamilton,986-555-0177,0,M,2,25.0,73,56,1,0,Production,2008-08-03,,Current
2008-08-03,,90,126,514829225,NULL,11,Laura,Steele,C,0,Production Technician - WC45,2008-08-03,1980-07-25,adventure-works\laura0,laura0@adventure-works.com,777-555-0141,S,Laura Steele,777-555-0141,0,F,1,10.0,75,57,1,0,Production,2008-08-03,,Current
2008-08-04,,91,18,750246141,NULL,11,Margie,Shoop,W,0,Production Technician - WC60,2008-08-04,1985-12-18,adventure-works\margie0,margie0@adventure-works.com,818-555-0128,M,Margie Shoop,818-555-0128,0,F,1,12.45,18,29,1,0,Production,2008-08-04,,Current
2008-08-04,,92,204,345106466,NULL,11,Zainal,Arifin,T,0,Document Control Manager,2008-08-04,1975-08-30,adventure-works\zainal0,zainal0@adventure-works.com,204-555-0115,M,Zainal Arifin,204-555-0115,0,M,2,17.7885,77,58,1,0,Document Control,2008-08-04,,Current
2008-08-04,,93,214,19312190,NULL,11,Lorraine,Nay,O,0,Production Technician - WC40,2008-08-04,1988-06-26,adventure-works\lorraine0,lorraine0@adventure-works.com,845-555-0184,M,Lorraine Nay,845-555-0184,0,F,1,15.0,49,44,1,0,Production,2008-08-04,,Current
2008-08-04,,94,147,212801092,NULL,11,Fadi,Fakhouri,K,0,Production Technician - WC20,2008-08-04,1988-09-15,adventure-works\fadi0,fadi0@adventure-works.com,935-555-0116,S,Fadi Fakhouri,935-555-0116,0,M,1,14.0,16,28,1,0,Production,2008-08-04,,Current
2008-08-05,,95,53,769680433,NULL,11,Ryan,Cornelsen,L,0,Production Technician - WC40,2008-08-05,1972-01-12,adventure-works\ryan0,ryan0@adventure-works.com,208-555-0114,M,Ryan Cornelsen,208-555-0114,0,M,1,15.0,59,49,1,0,Production,2008-08-05,,Current
2008-08-06,,96,142,60517918,NULL,11,Candy,Spoon,L,0,Accounts Receivable Specialist,2008-08-06,1975-09-23,adventure-works\candy0,candy0@adventure-works.com,920-555-0177,S,Candy Spoon,920-555-0177,0,F,2,19.0,61,50,1,0,Finance,2008-08-06,,Current
2008-08-06,,97,76,431859843,NULL,11,Nuan,Yu,NULL,0,Production Technician - WC50,2008-08-06,1978-10-27,adventure-works\nuan0,nuan0@adventure-works.com,913-555-0184,S,Nuan Yu,913-555-0184,0,M,1,11.0,2,21,1,0,Production,2008-08-06,,Current
2008-08-07,2011-03-31,98,46,621209647,NULL,11,William,Vong,S,0,Scheduling Assistant,2008-08-07,1981-06-06,adventure-works\william0,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,0,M,2,16.0,45,42,1,0,Production Control,2008-08-07,2011-03-31,NULL
2008-08-07,,100,177,420023788,NULL,11,Bjorn,Rettig,M,0,Production Technician - WC30,2008-08-07,1989-06-06,adventure-works\bjorn0,bjorn0@adventure-works.com,199-555-0117,S,Bjorn Rettig,199-555-0117,0,M,1,9.5,43,41,1,0,Production,2008-08-07,,Current
